locus	locus	URL	basename	isORF	isPeptide	DNA_version	species	expected
_porB	_porB	http://pubmlst.org/cgi-bin/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=%27porB	'porB_	False	False		Nm	True
sodC	sodC	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS1339	NEIS1339_	True	False		Nm	True
csaA	csaA	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS2157	NEIS2157_	True	False		Nm	False
csaB	csaB	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS2158	NEIS2158_	True	False		Nm	False
csaC	csaC	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS2159	NEIS2159_	True	False		Nm	False
csaD	csaD	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS2160	NEIS2160_	True	False		Nm	False
csxA	csxA	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS2187	NEIS2187_	True	False		Nm	False
csxB	csxB	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS2188	NEIS2188_	True	False		Nm	False
csxC	csxC	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS2189	NEIS2189_	True	False		Nm	False
csb	csb	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS2161	NEIS2161_	True	False		Nm	False
csc	csc	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS0051	NEIS0051_	True	False		Nm	False
csw	csw	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS2162	NEIS2162_	True	False		Nm	False
csy	csy	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS2163	NEIS2163_	True	False		Nm	False
gyrA-cur	gyrA-cur	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=gyrA	gyrA_	False	False		Nm	False
ponA	ponA	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS0414	NEIS0414_	True	False		Nm	False
gyrA-var	gyrA-var	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS1320	NEIS1320_	True	False		Nm	False
parC	parC	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS1525	NEIS1525_	True	False		Nm	False
parE	parE	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS1600	NEIS1600_	True	False		Nm	False
folP	folP	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS1609	NEIS1609_	True	False		Nm	False
mtrR	mtrR	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS1635	NEIS1635_	True	False		Nm	False
penA-var	penA-var	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS1753	NEIS1753_	True	False		Nm	False
penA-cur	penA-cur	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=penA	penA_	False	False		Nm	False
rpoB	rpoB	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=rpoB	rpoB_	False	False		Nm	False
plasmid_blam	plasmid_blam	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS2357	NEIS2357_	True	False		Nm	False
plasmid_replicat	plasmid_replicat	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS2358	NEIS2358_	True	False		Nm	False
plasmid_tetM	plasmid_tetM	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS2210	NEIS2210_	True	False		Nm	False
oriT	oriT	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS2244	NEIS2244_	True	False		Nm	False
Hi_adk	Hi_adk	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_hinfluenzae_seqdef&page=downloadAlleles&locus=adk	adk_	False	False		Hi	True
atpG	atpG	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_hinfluenzae_seqdef&page=downloadAlleles&locus=atpG	atpG_	False	False		Hi	True
frdB	frdB	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_hinfluenzae_seqdef&page=downloadAlleles&locus=frdB	frdB_	False	False		Hi	True
fucK	fucK	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_hinfluenzae_seqdef&page=downloadAlleles&locus=fucK	fucK_	False	False		Hi	True
mdh	mdh	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_hinfluenzae_seqdef&page=downloadAlleles&locus=mdh	mdh_	False	False		Hi	True
pgi	pgi	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_hinfluenzae_seqdef&page=downloadAlleles&locus=pgi	pgi_	False	False		Hi	True
recA	recA	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_hinfluenzae_seqdef&page=downloadAlleles&locus=recA	recA_	False	False		Hi	True
ftsI	ftsI	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_hinfluenzae_seqdef&page=downloadAlleles&locus=ftsI	ftsI_	False	False			False
ctrA	ctrA	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS0055	NEIS0055_	True	False		Nm	True
ctrB	ctrB	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS0056	NEIS0056_	True	False		Nm	True
ctrC	ctrC	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS0057	NEIS0057_	True	False		Nm	True
ctrD	ctrD	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS0058	NEIS0058_	True	False		Nm	True
cssA	cssA	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS0054	NEIS0054_	True	False			False
cssB	cssB	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS0053	NEIS0053_	True	False			False
cssC	cssC	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS0052	NEIS0052_	True	False			False
cssE	cssE	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS0050	NEIS0050_	True	False			False
ctrG	ctrG	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS0049	NEIS0049_	True	False			False
penB	penB	ng_penB.fasta	penB_	True	False			False
rpsJ	rpsJ	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS0129	NEIS0129_	True	False			False
rpsJng	rpsJng	rpsJng.fasta	rpsJng_	True	False			False
23S	23S	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=_23S_rRNA	23S_rRNA_	False	False			False
pilQ	pilQ	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS0408	NEIS0408_	True	False			False
rpsE	rpsE	http://pubmlst.org/perl/bigsdb/bigsdb.pl?db=pubmlst_neisseria_seqdef&page=downloadAlleles&locus=NEIS0149	NEIS0149_	True	False			False
penAng	penAng	penAng.fasta	penA_	False	False			False
mtrRng	mtrRng	mtrRng.fasta	mtrR_	False	False			False
